source,year,date,shift,set_name,question_id,question_number,question_text,passage_text,case_text,option_a,option_b,option_c,option_d,correct_option,answer_source,question_type,difficulty_estimate,unit,chapter,subtopic,ncert_keyword_match,repeated_concept_cluster,confidence_score,source_url,raw_file_path,needs_review
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec505da296ef51f067e8,29,Which technique of Scientific Management violates Unity of Command?,,,Time study,Standardisation of work,Functional Foremenship,Simplification of work,C,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit II,Principles of Management,techniques of scientific management,"standardisation, simplification, time study",Principles of Management :: techniques of scientific management,0.81,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,no
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec505da296ef51f067ea,30,"Identify the rights provided to consumers by the Consumer Protection Act 2019

A. Right to Safety
B. Right to be Informed
C. Right to choose
D. Right to be heard
E. Right to be assured

Choose the correct answer from the options given below:",,,"A, B, C and D only","A, B, C and E only","A, B, D and E only","A, B and C only",C,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit XI,Consumer Protection,consumer rights,"right to safety, right to be informed, right to choose, right to be heard",Consumer Protection :: consumer rights,0.92,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,no
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec505da296ef51f067ec,31,Select from following who is considered Risk taker,,,Manager,Customer,Entrepreneur,Government,C,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit XII,Entrepreneurship Development,concept and functions,entrepreneur,Entrepreneurship Development :: concept and functions,0.38,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,no
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec505da296ef51f067ee,32,"Arrange the steps of Trading and Settlement procedure in Securities

A. Open a demat account
B. Place an order with the broker
C. Sign a broker-client agreement
D. Broker match the share price available
E. Broker issue a trade confirmation slip

Choose the correct answer from the options given below:",,,"A, B, C, D, E","E, D, C, B, A","C, A, B, D, E","C, A, D, B, E",C,AfterBoards CUET Business Studies PYQs linked file,chronology,easy,Unit X,Marketing,marketing mix,"price, place",Marketing :: marketing mix,0.56,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,no
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec505da296ef51f067f0,33,"Identify the correct sequence of first five steps of staffing process:-

A. Estimating the manpower requirement
B. Recruitment
C. Training and development
D. Placement and orientation
E. Selection

Choose the correct answer from the options given below:",,,"A, B, D, C, E","A, B, C, D, E","A, B, E, D, C","A, C, B, D, E",C,AfterBoards CUET Business Studies PYQs linked file,chronology,easy,Unit VI,Staffing,staffing process,"recruitment, selection, placement, orientation, training",Staffing :: staffing process,0.89,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,no
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec505da296ef51f067f2,34,"According to which principle of management, ""Organisation should have a chain of authority and communication that runs from top to bottom and should be followed by managers and the subordinates.""",,,Centralisation and Decentralisation,Subordination of individual interest to general interest,Scalar chain,Espirit De Corps,C,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit II,Principles of Management,Fayol principles,"authority, scalar chain",Principles of Management :: Fayol principles,0.70,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,no
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec505da296ef51f067f4,35,"Arrange following elements of communication process in a sequence

A. Sender
B. Receiver
C. Message
D. Media
E. Feedback

Choose the correct answer from the options given below:",,,"A, C, B, E, D","C, A, B, D, E","A, C, D, B, E","A, C, B, D, E",C,AfterBoards CUET Business Studies PYQs linked file,chronology,easy,Unit VII,Directing,communication,"communication, feedback",Directing :: communication,0.62,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,no
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec505da296ef51f067f6,36,"External Sources of recruitment does not include

A. Casual callers
B. Employment exchange
C. Transfer
D. Advertising
E. Promotions

Choose the correct answer from the options given below:",,,A and B only,B and C only,C and E only,D and E only,C,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit VI,Staffing,recruitment,"external sources, transfer, promotion, employment exchange",Staffing :: recruitment,0.85,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,no
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec505da296ef51f067f8,37,Capital structure should emphasize on:-,,,Increasing the turnover of firm,Increasing the assets and liabilities of firm,Increasing the shareholders wealth,Increasing voting right of shareholders,C,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit IX,Business Finance,financing decision,capital structure,Business Finance :: financing decision,0.43,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,no
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec505da296ef51f067fa,38,Identify the trend in stock market when equity shares are more easily sold even at higher price,,,Bearish,Bullish,Horse trading,Badla,B,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit X,Marketing,pricing,price,Marketing :: pricing,0.38,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,no
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec505da296ef51f067fc,39,"Match List I with List II

| LIST I | | LIST II |
|---|---|---|
| A. Job Enrichment | I. | Indicates the characteristics which describe an organisation |
| B. Organisational Climate | II. | Informal Communication |
| C. Laissez-faire | III. | Leadership Style |
| D. Grapevine | IV. | Concerned with designing jobs that include greater variety of work content |

Choose the correct answer from the options given below:",,,"A-III, B-IV, C-II, D-I","A-III, B-IV, C-I, D-II","A-IV, B-II, C-III, D-I","A-IV, B-I, C-III, D-II",D,AfterBoards CUET Business Studies PYQs linked file,match-the-following,medium,Unit VII,Directing,communication,"communication, formal communication, informal communication, organisational",Directing :: communication,0.83,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,no
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec505da296ef51f067fe,40,_______ refers to vertical shifting of employees in an organisation,,,Promotion,Transfer,Interview,Placement,A,AfterBoards CUET Business Studies PYQs linked file,definition,easy,Unit VI,Staffing,staffing process,"placement, promotion",Staffing :: staffing process,0.56,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,no
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec505da296ef51f06800,41,_______ is the function of management discussed in the above passage,"Rohan is the Head Boy of Ethos Public School school. The School is going to hold a covid vaccination camp for students of age group 12-14 yrs in the month of May. The entire Prefectorial Board is given the duties for the event under the leadership of Rohan. Rohan has shortlisted following activities:

1. Identification of students eligible for vaccination under 12-14 yrs.
2. Obtaining Aadhar card for registration of these students on the covid vaccination App
3. Consent letters of parents

He further divided the execution part activities. Later he grouped the similar natured activities into different units. Then he allocated these to different prefects under his prefectorial board. Thereafter he devised a computer software where each prefect was supposed to enter his data of vaccination for further submission to school headmistress.","Rohan is the Head Boy of Ethos Public School school. The School is going to hold a covid vaccination camp for students of age group 12-14 yrs in the month of May. The entire Prefectorial Board is given the duties for the event under the leadership of Rohan. Rohan has shortlisted following activities:

1. Identification of students eligible for vaccination under 12-14 yrs.
2. Obtaining Aadhar card for registration of these students on the covid vaccination App
3. Consent letters of parents

He further divided the execution part activities. Later he grouped the similar natured activities into different units. Then he allocated these to different prefects under his prefectorial board. Thereafter he devised a computer software where each prefect was supposed to enter his data of vaccination for further submission to school headmistress.",Planning,Directing,Organising,Staffing,C,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit I,Nature and Significance of Management,functions of management,"planning, organising, staffing, directing",Nature and Significance of Management :: functions of management,0.82,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,no
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec505da296ef51f06802,42,"Rohan has shortlisted following activities""

Identify the step highlighted in the above line in the process of organisation","Rohan is the Head Boy of Ethos Public School school. The School is going to hold a covid vaccination camp for students of age group 12-14 yrs in the month of May. The entire Prefectorial Board is given the duties for the event under the leadership of Rohan. Rohan has shortlisted following activities:

1. Identification of students eligible for vaccination under 12-14 yrs.
2. Obtaining Aadhar card for registration of these students on the covid vaccination App
3. Consent letters of parents

He further divided the execution part activities. Later he grouped the similar natured activities into different units. Then he allocated these to different prefects under his prefectorial board. Thereafter he devised a computer software where each prefect was supposed to enter his data of vaccination for further submission to school headmistress.","Rohan is the Head Boy of Ethos Public School school. The School is going to hold a covid vaccination camp for students of age group 12-14 yrs in the month of May. The entire Prefectorial Board is given the duties for the event under the leadership of Rohan. Rohan has shortlisted following activities:

1. Identification of students eligible for vaccination under 12-14 yrs.
2. Obtaining Aadhar card for registration of these students on the covid vaccination App
3. Consent letters of parents

He further divided the execution part activities. Later he grouped the similar natured activities into different units. Then he allocated these to different prefects under his prefectorial board. Thereafter he devised a computer software where each prefect was supposed to enter his data of vaccination for further submission to school headmistress.",Setting objectives,Assignment of duties,Identifying the alternative courses of action,Identification and division of work,D,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit VII,Directing,leadership,"leadership, leader",Directing :: leadership,0.58,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,no
